,word_id,token,NER_annotation,NER_nested_annotation,final_ent,capitalized,final_ent_reduced,struct_id,lemma,doc,msk
0,105415271,ἔφη,,,O,False,O,0,φημί,0543-001.xml,0
1,105415272,γὰρ,,,O,False,O,0,γάρ,0543-001.xml,0
2,105415273,περὶ,,,O,False,O,0,περί,0543-001.xml,0
3,105415274,μὲν,,,O,False,O,0,μέν,0543-001.xml,0
4,105415275,τῶν,,,O,False,O,0,ὁ,0543-001.xml,0
5,105415276,κορυφαίων,,,O,False,O,0,κορυφαῖος,0543-001.xml,0
6,105415277,καλῶς,,,O,False,O,0,καλός,0543-001.xml,0
7,105415278,βεβουλεῦσθαι,,,O,False,O,0,βουλεύω,0543-001.xml,0
8,105415279,Ῥωμαίους,B-GRP,,B-GRP,True,MISC,0,Ῥωμαῖος,0543-001.xml,0
9,105415280,,,,O,False,O,0,",",0543-001.xml,0
10,105415281,ἀπαγαγόντας,,,O,False,O,0,ἀπάγω,0543-001.xml,0
11,105415282,αὐτοὺς,,,O,False,O,0,αὐτός,0543-001.xml,0
12,105415283,εἰς,,,O,False,O,0,εἰς,0543-001.xml,0
13,105415284,τὴν,,,O,False,O,0,ὁ,0543-001.xml,0
14,105415285,Ῥώμην,B-LOC,,B-LOC,True,MISC,0,Ῥώμη,0543-001.xml,0
15,105415286,,,,O,False,O,0,",",0543-001.xml,0
16,105415287,λέγων,,,O,False,O,0,λέγω,0543-001.xml,0
17,105415288,τοὺς,,,O,False,O,0,ὁ,0543-001.xml,0
18,105415289,περὶ,,,O,False,O,0,περί,0543-001.xml,0
19,105415290,τὸν,,,O,False,O,0,ὁ,0543-001.xml,0
20,105415291,Εὐπόλεμον,B-PER,,B-PERS,True,PERS,0,Εὐπόλεμος,0543-001.xml,1
21,105415292,καὶ,,,O,False,O,0,καί,0543-001.xml,0
22,105415293,Νίκανδρον,B-PER,,B-PERS,True,PERS,0,Νίκανδρος,0543-001.xml,1
23,105415294,,,,O,False,O,0,",",0543-001.xml,0
24,105415295,τοὺς,,,O,False,O,0,ὁ,0543-001.xml,0
25,105415296,δὲ,,,O,False,O,0,δέ,0543-001.xml,0
26,105415297,συναγωνιστὰς,,,O,False,O,0,συναγωνιστής,0543-001.xml,0
27,105415298,καὶ,,,O,False,O,0,καί,0543-001.xml,0
28,105415299,τοὺς,,,O,False,O,0,ὁ,0543-001.xml,0
29,105415300,παραστάτας,,,O,False,O,0,παραστάτης,0543-001.xml,0
30,105415301,τοὺς,,,O,False,O,0,ὁ,0543-001.xml,0
31,105415302,ἐκείνων,,,O,False,O,0,ἐκεῖνος,0543-001.xml,0
32,105415303,ἔτι,,,O,False,O,0,ἔτι,0543-001.xml,0
33,105415304,μένειν,,,O,False,O,0,μένω,0543-001.xml,0
34,105415305,κατὰ,,,O,False,O,0,κατά,0543-001.xml,0
35,105415306,τὴν,,,O,False,O,0,ὁ,0543-001.xml,0
36,105415307,Αἰτωλίαν,B-LOC,,B-LOC,True,MISC,0,Αἰτωλία,0543-001.xml,0
37,105415308,,,,O,False,O,0,",",0543-001.xml,0
38,105415309,οὓς,,,O,False,O,0,ὅς,0543-001.xml,0
39,105415310,δεῖν,,,O,False,O,0,δέω,0543-001.xml,0
40,105415311,ἅπαντας,,,O,False,O,0,ἅπας,0543-001.xml,0
41,105415312,τῆς,,,O,False,O,0,ὁ,0543-001.xml,0
